,NUM_LAYERS,NUM_PATHS,PATHS,BEATS_GREEDY
0,6,10,"[[3, 8, 15, 18, 28, 32], [2, 9, 12, 18, 26, 31], [0, 6, 15, 23, 27, 35], [1, 9, 17, 22, 29, 33], [2, 7, 15, 20, 25, 34], [5, 10, 16, 22, 24, 31], [0, 8, 12, 21, 24, 33], [5, 11, 14, 21, 26, 30], [4, 10, 17, 19, 25, 32], [4, 11, 13, 20, 28, 35]]",False
1,6,9,"[[4, 7, 17, 18, 26, 31], [5, 8, 12, 19, 29, 32], [2, 6, 17, 20, 27, 32], [3, 9, 12, 18, 27, 35], [1, 10, 17, 23, 28, 34], [3, 8, 14, 22, 24, 30], [1, 7, 13, 22, 25, 33], [0, 11, 16, 21, 29, 34], [0, 6, 15, 19, 25, 30]]",False
2,6,9,"[[5, 8, 13, 23, 26, 33], [1, 7, 15, 23, 25, 32], [0, 11, 12, 22, 24, 33], [2, 10, 17, 18, 25, 33], [3, 10, 12, 21, 27, 34], [4, 6, 17, 20, 29, 35], [1, 8, 16, 18, 29, 31], [4, 7, 14, 22, 28, 30], [5, 9, 17, 21, 24, 30]]",False
3,6,9,"[[0, 10, 17, 23, 24, 31], [2, 9, 14, 21, 24, 34], [4, 7, 15, 20, 25, 30], [5, 8, 12, 18, 26, 35], [5, 6, 13, 19, 27, 32], [1, 10, 13, 22, 28, 35], [1, 11, 14, 18, 25, 33], [0, 6, 16, 21, 29, 30], [3, 8, 17, 20, 29, 32]]",False
4,6,9,"[[4, 8, 16, 23, 28, 33], [0, 7, 17, 20, 28, 30], [3, 8, 15, 20, 29, 31], [1, 6, 12, 19, 26, 35], [2, 9, 14, 19, 28, 32], [2, 6, 17, 18, 27, 34], [5, 9, 13, 21, 24, 34], [3, 7, 13, 22, 25, 35], [5, 10, 12, 23, 27, 31]]",False
5,6,9,"[[5, 7, 15, 20, 27, 30], [0, 9, 14, 23, 26, 35], [0, 11, 15, 18, 25, 34], [2, 6, 13, 23, 25, 32], [3, 10, 12, 20, 29, 32], [4, 8, 16, 20, 28, 33], [4, 10, 17, 21, 24, 34], [1, 6, 12, 19, 24, 31], [5, 11, 16, 22, 26, 31]]",False
6,6,9,"[[2, 6, 17, 20, 26, 35], [5, 11, 16, 22, 28, 32], [5, 9, 15, 23, 24, 31], [0, 7, 16, 23, 29, 33], [3, 10, 14, 18, 29, 31], [4, 8, 12, 20, 29, 30], [1, 9, 13, 20, 25, 32], [1, 11, 12, 18, 27, 34], [3, 7, 15, 21, 25, 35]]",False
7,6,9,"[[0, 10, 14, 22, 26, 35], [5, 7, 16, 18, 29, 30], [5, 11, 12, 21, 28, 35], [4, 6, 16, 22, 24, 34], [1, 8, 13, 18, 25, 35], [3, 10, 17, 18, 28, 31], [1, 10, 16, 23, 27, 33], [2, 11, 17, 19, 27, 32], [2, 8, 15, 20, 26, 34]]",False
8,6,9,"[[1, 9, 12, 23, 24, 30], [3, 6, 16, 18, 29, 30], [3, 10, 14, 22, 24, 35], [5, 7, 14, 20, 25, 33], [4, 11, 15, 23, 26, 34], [2, 9, 13, 21, 28, 31], [2, 7, 16, 19, 27, 32], [0, 8, 12, 18, 25, 31], [0, 11, 17, 20, 28, 32]]",False
9,6,8,"[[3, 11, 15, 18, 29, 33], [1, 7, 17, 23, 24, 34], [1, 8, 16, 18, 27, 30], [5, 6, 17, 21, 27, 35], [2, 11, 16, 20, 26, 34], [0, 10, 12, 20, 24, 30], [3, 9, 13, 21, 28, 32], [4, 7, 13, 20, 25, 31]]",False
10,6,10,"[[3, 10, 17, 18, 28, 35], [3, 7, 12, 19, 29, 32], [0, 8, 14, 22, 24, 30], [1, 8, 15, 21, 25, 31], [3, 11, 13, 23, 24, 34], [4, 9, 14, 21, 27, 33], [1, 9, 13, 19, 26, 35], [2, 6, 16, 20, 24, 35], [5, 10, 12, 22, 25, 33], [2, 8, 17, 23, 26, 32]]",False
11,6,8,"[[5, 8, 14, 21, 27, 30], [0, 6, 13, 21, 24, 32], [2, 7, 12, 21, 29, 33], [4, 9, 15, 18, 27, 35], [5, 11, 17, 18, 28, 34], [3, 10, 13, 19, 28, 31], [4, 11, 16, 20, 26, 33], [1, 9, 16, 23, 25, 32]]",False
12,6,8,"[[5, 6, 15, 20, 27, 35], [0, 7, 17, 21, 27, 31], [5, 9, 14, 22, 28, 33], [1, 8, 14, 18, 26, 30], [3, 11, 12, 22, 27, 30], [4, 7, 16, 18, 29, 34], [2, 10, 17, 22, 24, 34], [1, 10, 12, 23, 25, 32]]",False
13,6,9,"[[0, 10, 13, 18, 25, 30], [5, 6, 16, 20, 27, 33], [2, 8, 17, 22, 24, 32], [3, 9, 12, 18, 27, 34], [4, 11, 15, 21, 28, 34], [5, 10, 17, 23, 28, 31], [4, 7, 16, 23, 26, 30], [1, 8, 14, 19, 25, 33], [3, 7, 17, 21, 29, 35]]",False
14,6,9,"[[0, 9, 16, 23, 25, 35], [1, 10, 15, 19, 25, 34], [3, 7, 16, 21, 24, 32], [3, 6, 13, 18, 28, 30], [3, 8, 17, 22, 26, 31], [1, 8, 12, 20, 28, 33], [2, 10, 17, 21, 29, 33], [4, 11, 14, 21, 28, 31], [5, 6, 12, 19, 26, 32]]",False
15,6,10,"[[0, 11, 14, 21, 29, 33], [3, 7, 16, 20, 28, 31], [4, 11, 17, 20, 24, 35], [1, 10, 16, 22, 27, 32], [2, 6, 13, 21, 26, 31], [5, 8, 15, 23, 24, 31], [4, 9, 12, 23, 25, 30], [3, 10, 17, 18, 25, 33], [5, 9, 17, 19, 26, 34], [2, 8, 14, 18, 28, 32]]",False
